City,Location,State,EstimateLow,EstimateHigh,Estimate Full,Actor,Event Type,Source1,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Centerville,River Park Pavillion,TN,6,6,6,Hickman County Democrats,vigil,https://www.facebook.com/events/366721240696833/,35.7789565,-87.4669587,35.7809965,-87.4886687,Link
Raleigh,Bicentennial Plaza,NC,200,200,200,Carolina Peace Center,vigil,https://www.facebook.com/events/477959629430813/,35.7795897,-78.6381787,35.7833407,-78.6621587,Link
Carrboro,Town Commons,NC,151,151,151,Lights for Liberty Carrboro,vigil,https://www.facebook.com/events/498769104199279/,35.9101438,-79.0752895,35.9112198,-79.1137295,Link
Franklin,Franklin square,TN,24,50,24 to 50,Indivisible TN District 7,vigil,https://www.facebook.com/events/450289745790031/,35.9250637,-86.8688899,35.9202907,-86.8926699,Link
Nags Head,Dowdy Park,NC,60,100,60 to 100,general protestors,vigil,https://www.facebook.com/events/350253165592154/,35.9573922,-75.6240619,35.9580702,-75.6369719,Link
Knoxville,504 Market Street; Charles Krutch Park,TN,100,200,100 to 200,Women's March Coalition; DSA; Indivisible East TN,vigil,https://www.facebook.com/events/2321342884773360/,35.9606384,-83.9207392,35.9567324,-83.8899592,Link
Durham,CCB Plaza,NC,800,800,800,general protestors,vigil,https://www.facebook.com/events/2045854815526575/,35.9940329,-78.898619,35.9921979,-78.862279,Link
Porterville,Centennial Plaza Park,CA,11,11,11,General,General,https://www.lightsforliberty.org/,36.06523,-119.0167679,36.06249,-118.9853679,Link
Greensboro,Governmental Plaza,NC,500,700,500 to 700,Siembra NC; Faith Action International House ,vigil,https://www.facebook.com/events/491255835014992/,36.0726354,-79.7919754,36.0694664,-79.7525554,Link
Hillsborough,Orange County Historical Courthouse,NC,,,,general protestors; Apoyo-Centro para la Comunidad,protest,https://www.facebook.com/events/453831078745007/,36.0754183,-79.0997347,36.0759003,-79.0780347,Link
Winston Salem,Five Points- 1st and Miller Streets,NC,100,200,100 to 200,Parkway UCC Winston-Salem,vigil,https://www.facebook.com/events/755485031521317/,36.0998596,-80.244216,36.0951016,-80.266786,Link
Stillwater,Payne County Courthouse,OK,109,109,109,general protestors,vigil,https://www.facebook.com/events/2372490179685807/,36.1156071,-97.0583681,36.1116491,-97.0205581,Link
