protest,FIPS,n,FIPS2
GRP,12103,1,12103
GRP,12103,1,12103
GRP,12103,1,12103
GRP,12103,1,12103
GRP,12103,1,12103
GRP,12103,1,12103
FBT,12103,1,12103
GRP,12103,1,12103
GRP,12103,1,12103
GRP,12103,1,12103
GRP,12103,1,12103
GRP,12019,1,12019
GRP,12019,1,12019
GRP,12019,1,12019
GRP,12019,1,12019
LFL,6097,1,06097
FBT,6097,1,06097
GRP,6097,1,06097
GRP,6097,1,06097
FBT,6097,1,06097
GRP,6097,1,06097
LFL,6097,1,06097
GRP,6097,1,06097
GRP,6097,1,06097
FBT,6097,1,06097
GRP,6097,1,06097
GRP,6097,1,06097
GRP,6097,1,06097
FBT,6097,1,06097
FBT,6097,1,06097
GRP,6097,1,06097
GRP,6097,1,06097
GRP,6097,1,06097
GRP,6097,1,06097
FBT,40109,1,40109
GRP,40109,1,40109
GRP,40109,1,40109
GRP,40109,1,40109
LFL,40109,1,40109
GRP,12113,1,12113
GRP,12113,1,12113
GRP,12113,1,12113
GRP,12113,1,12113
GRP,12117,1,12117
GRP,12117,1,12117
GRP,12117,1,12117
GRP,12117,1,12117
GRP,40119,1,40119
LFL,40119,1,40119
GRP,40119,1,40119
GRP,48397,1,48397
GRP,48397,1,48397
GRP,48423,1,48423
GRP,48423,1,48423
GRP,48423,1,48423
LFL,36033,1,36033
GRP,36033,1,36033
FBT,36033,1,36033
GRP,36033,1,36033
FBT,36033,1,36033
GRP,28035,1,28035
GRP,54027,1,54027
LFL,6115,1,06115
GRP,48215,1,48215
GRP,48215,1,48215
FBT,48215,1,48215
LFL,48215,1,48215
GRP,48215,1,48215
GRP,48215,1,48215
GRP,48215,1,48215
GRP,48215,1,48215
GRP,48215,1,48215
GRP,48215,1,48215
GRP,48215,1,48215
FBT,48215,1,48215
GRP,48215,1,48215
FBT,36049,1,36049
GRP,1095,1,01095
GRP,36007,1,36007
GRP,36007,1,36007
LFL,36007,1,36007
GRP,36007,1,36007
FBT,36007,1,36007
GRP,36093,1,36093
GRP,36093,1,36093
LFL,48041,1,48041
GRP,48041,1,48041
GRP,48041,1,48041
GRP,48041,1,48041
GRP,48041,1,48041
FBT,48041,1,48041
FBT,28047,1,28047
GRP,28047,1,28047
FBT,49053,1,49053
LFL,49053,1,49053
GRP,49053,1,49053
