Protest,g_lat,g_lon
LFL,34.1954331,-79.7625625
LFL,34.2073196,-84.1401926
LFL,34.2163937,-119.0376023
LFL,34.2163937,-119.0376023
LFL,34.2542084,-110.0298327
LFL,34.3664951,-89.5192484
LFL,34.3916641,-118.542586
LFL,34.3988838,-119.5184564
LFL,34.4208305,-119.6981901
LFL,34.5261465,-83.9843953
LFL,34.5400242,-112.4685025
LFL,34.5794343,-118.1164613
LFL,34.5827699,-117.409215
LFL,34.7303688,-86.5861037
LFL,34.7540524,-77.4302414
LFL,34.7583934,-106.0558506
LFL,34.8639719,-84.324087
LFL,34.8697395,-111.7609896
LFL,34.9387279,-82.2270568
LFL,34.9530337,-120.4357191
LFL,34.9943021,-81.2420175
LFL,34.9943021,-81.2420175
LFL,35.0843859,-106.650422
LFL,35.0875836,-84.0346315
LFL,35.1185868,-120.5907252
LFL,35.1495343,-90.0489801
LFL,35.189443,-114.0530065
LFL,35.1982836,-111.651302
LFL,35.2225668,-97.4394777
LFL,35.2248034,-88.2492037
LFL,35.2270869,-80.8431267
LFL,35.2827524,-120.6596156
LFL,35.3187279,-82.4609528
LFL,35.3598924,-79.7797617
LFL,35.3732921,-119.0187125
LFL,35.4087517,-80.579511
LFL,35.4675602,-97.5164276
LFL,35.4887145,-82.9887477
LFL,35.5950581,-82.5514869
LFL,35.6178951,-82.3212302
LFL,35.6869752,-105.937799
LFL,35.7201463,-79.1772371
LFL,35.7344538,-81.3444573
LFL,35.7564719,-83.9704593
LFL,35.7789565,-87.4669587
LFL,35.7795897,-78.6381787
LFL,35.9101438,-79.0752895
LFL,35.9250637,-86.8688899
LFL,35.9573922,-75.6240619
LFL,35.9606384,-83.9207392
LFL,35.9940329,-78.898619
LFL,36.06523,-119.0167679
LFL,36.0726354,-79.7919754
LFL,36.0754183,-79.0997347
LFL,36.0998596,-80.244216
LFL,36.1156071,-97.0583681
LFL,36.1539816,-95.992775
LFL,36.1626638,-86.7816016
LFL,36.162839,-85.5016423
LFL,36.1699412,-115.1398296
LFL,36.1699412,-115.1398296
LFL,36.1867442,-94.1288141
LFL,36.1881365,-94.5404962
LFL,36.216795,-81.6745517
LFL,36.3134397,-82.3534727
LFL,36.3302284,-119.2920585
LFL,36.3548586,-79.6644747
LFL,36.4072485,-105.5730665
LFL,36.5297706,-87.3594528
LFL,36.6002378,-121.8946761
LFL,36.7377981,-119.7871247
LFL,36.8507689,-76.2858726
LFL,36.8507689,-76.2858726
LFL,36.8529263,-75.977985
LFL,36.8586404,-82.7832489
LFL,36.9685219,-86.4808043
LFL,36.9741171,-122.0307963
LFL,37.0870821,-76.4730122
LFL,37.0965278,-113.5684164
LFL,37.1305012,-121.6543901
LFL,37.2707022,-76.7074571
LFL,37.2709704,-79.9414266
LFL,37.27528,-107.8800667
LFL,37.2769948,-89.1834113
LFL,37.3020965,-78.3919401
LFL,37.3058839,-89.5181476
LFL,37.3382082,-121.8863286
LFL,37.3488827,-108.5859265
LFL,37.3860517,-122.0838511
LFL,37.410884,-94.70496
LFL,37.4418834,-122.1430195
LFL,37.4635519,-122.4285862
LFL,37.4852152,-122.2363548
LFL,37.5485396,-121.988583
LFL,37.6138253,-122.4869194
LFL,37.6456329,-84.7721702
LFL,37.6818688,-121.7684732
LFL,37.6871761,-97.330053
LFL,37.6955029,-122.0738678
LFL,37.7749295,-122.4194155
LFL,37.7781702,-81.1881557
LFL,37.7798721,-122.2821855
LFL,37.7974273,-121.2160526
LFL,37.8043514,-122.2711639
LFL,37.8043514,-122.2711639
LFL,37.8043514,-122.2711639
LFL,37.8715226,-122.273042
LFL,37.8715226,-122.273042
LFL,37.9060368,-122.5449763
LFL,37.9254135,-76.8591301
LFL,37.9357576,-122.3477486
LFL,37.9779776,-122.0310733
LFL,38.0293059,-78.4766781
LFL,38.049365,-122.1585777
LFL,38.0677832,-120.5385299
LFL,38.1074198,-122.5697032
LFL,38.149576,-79.0716958
LFL,38.2009055,-84.8732835
LFL,38.2097987,-84.2529869
LFL,38.232417,-122.6366524
LFL,38.2526647,-85.7584557
LFL,38.2544472,-104.6091409
LFL,38.2975381,-122.286865
LFL,38.3448488,-79.085032
LFL,38.3498195,-81.6326234
LFL,38.3565773,-121.9877444
LFL,38.3914418,-86.9311094
LFL,38.4192496,-82.445154
LFL,38.440429,-122.7140548
LFL,38.4495688,-78.8689155
LFL,38.6270025,-90.1994042
LFL,38.6270025,-90.1994042
LFL,38.7058806,-87.7600285
LFL,38.7509488,-77.4752667
LFL,38.7521235,-121.2880059
LFL,38.7722996,-123.5340084
LFL,38.8048355,-77.0469214
LFL,38.8114364,-89.953157
LFL,38.830193,-119.787033
LFL,38.8462236,-77.3063733
LFL,38.8817784,-78.5058429
LFL,38.8965654,-121.0768901
LFL,38.9071923,-77.0368707
LFL,38.9517053,-92.3340724
LFL,38.9716689,-95.2352501
LFL,38.9784453,-76.4921829
LFL,38.9989499,-84.6266111
LFL,39.0066993,-77.4291298
LFL,39.0429506,-122.9158293
LFL,39.0473451,-95.6751576
LFL,39.0997265,-94.5785667
LFL,39.1031182,-84.5120196
LFL,39.1155314,-94.6267873
LFL,39.1457253,-121.5913547
LFL,39.1501709,-123.2077831
LFL,39.165325,-86.5263857
LFL,39.1836082,-96.5716694
LFL,39.2037144,-76.8610462
LFL,39.2188663,-76.0690036
LFL,39.2903848,-76.6121893
LFL,39.2903848,-76.6121893
LFL,39.2903848,-76.6121893
LFL,39.2903848,-76.6121893
LFL,39.327962,-120.1832533
LFL,39.3596841,-111.5863052
LFL,39.3642834,-74.4229266
LFL,39.4014955,-76.6019125
LFL,39.4142688,-77.4105409
LFL,39.415352,-81.4548436
LFL,39.523652,-87.1250154
LFL,39.5296329,-119.8138027
LFL,39.5505376,-107.3247762
LFL,39.5753791,-76.9958149
LFL,39.6067789,-75.8332718
LFL,39.629526,-79.9558968
LFL,39.6333213,-105.3172146
LFL,39.7294319,-104.8319195
