CityTown,Location,StateTerritory,Country,Date,EstimateLow,EstimateHigh,Estimate,Actor,Source1,Source2,Source3,g_lat,g_lon,g_lat_jitter,g_lon_jitter,linkstatus
Pittsfield,Park Square,MA,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20006/signup/?source=&s=,http://www.iberkshires.com/story/57727/Hundreds-Gather-in-Pittsfield-to-Protest-Trump-s-Immigration-Policies.html,,42.4500845,-73.2453824,42.4549215,-73.2466274,Link
Plattsburgh,Downtown Plattsburgh,NY,US,6/30/2018,240,240,240,Families Belong Together,https://act.moveon.org/event/families-belong-together/20361/signup/?source=&s=,https://www.northcountrypublicradio.org/news/story/36532/20180702/rallies-across-north-country-protest-zero-tolerance-immigration-policy,,44.6994873,-73.4529124,44.6948123,-73.4533584,Link
Pleasanton,Delucchi Park,CA,US,6/30/2018,600,600,600,Families Belong Together,https://act.moveon.org/event/families-belong-together/20149/signup/?source=&s=,https://patch.com/california/pleasanton/hundreds-take-part-pleasanton-families-belong-together-rally,,37.6624312,-121.8746789,37.6610972,-121.8754589,Link
Pocatello,Caldwell Park,ID,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/20722/signup/?source=&s=,https://idahostatejournal.com/news/local/over-join-families-belong-together-march-in-pocatello/article_b0023bee-a084-5b41-b047-7c474de6509d.html,,42.8621042,-112.4506191,42.8627592,-112.4521911,Link
Point Arena,In front of our threatened Point Arena Post Office,CA,US,6/30/2018,9,9,9,Families Belong Together,https://act.moveon.org/event/families-belong-together/20707/signup/?source=&s=,https://twitter.com/MsMightyPen/status/1013169419944521728/photo/1,,38.908798,-123.6930726,38.906448,-123.6900006,Link
Pontiac,Pontiac Public Library,MI,US,6/30/2018,630,630,630,Families Belong Together,https://act.moveon.org/event/families-belong-together/20095/signup/?source=&s=,https://twitter.com/LoriJSchaffer/status/1013135833480744960,,42.6389216,-83.2910468,42.6395856,-83.2942208,Link
Poolesville,Whalen Commons,MD,US,6/30/2018,23,23,23,Families Belong Together,https://act.moveon.org/event/families-belong-together/21055/signup/?source=&s=,https://www.facebook.com/events/632739597124447/,,39.1459392,-77.4169311,39.1492312,-77.4178041,Link
Port Angeles,"Port Angeles Border Patrol Station (lawn, outside gates)",WA,US,6/30/2018,400,675,400 to 675,Families Belong Together,https://act.moveon.org/event/families-belong-together/20135/signup/?source=&s=,via website,http://www.peninsuladailynews.com/news/more-than-675-rally-against-federal-immigration-policy-in-port-angeles/,48.118146,-123.4307413,48.117729,-123.4357353,Link
Port Clinton,,OH,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together_attend1/search/#event-map,,,41.5119954,-82.9376919,41.5163814,-82.9381549,Link
Port Huron,ICE Detention Center,MI,US,6/30/2018,100,200,100 to 200,Families Belong Together,https://act.moveon.org/event/families-belong-together/19865/signup/?source=&s=,https://twitter.com/PlsntHomeFarm/status/1013173727591387138,https://twitter.com/MIdistrict33/status/1013141383404834817,42.9708634,-82.4249142,42.9672444,-82.4251112,Link
Portland,Portland City Hall,ME,US,6/30/2018,2000,2000,"2,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19996/signup/?source=&s=,https://www.pressherald.com/2018/06/30/about-2000-people-protest-trump-immigration-policies-in-front-of-portland-city-hall/,,43.6590993,-70.2568189,43.6593793,-70.2546049,Link
Portland,North Park Blocks,OR,US,6/30/2018,2000,2000,"2,000",Families Belong Together,https://act.moveon.org/event/families-belong-together/19867/signup/?source=&s=,https://www.oregonlive.com/expo/news/erry-2018/06/5a57d9587420/thousands_show_at_downtown_por.html,,45.5154586,-122.6793461,45.5133996,-122.6758791,Link
Portsmouth,Market Square in front of the North Church downtown,NH,US,6/30/2018,200,200,200,Families Belong Together,https://act.moveon.org/event/families-belong-together/20229/signup/?source=&s=,https://www.facebook.com/photo.php?fbid=1883968568313164&set=pcb.1883978494978838&type=3&theater,http://www.seacoastonline.com/news/20180630/protesters-call-for-end-of-family-separations,43.0717552,-70.7625532,43.0714422,-70.7614752,Link
Portsmouth,Tracy Park,OH,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20614/signup/?source=&s=,,,38.7317431,-82.9976742,38.7341231,-82.9940312,Link
Potsdam,Potsdam Presbyterian Church,NY,US,6/30/2018,,,Unknown,Families Belong Together,https://act.moveon.org/event/families-belong-together/20213/signup/?source=&s=,,,44.6697805,-74.9813084,44.6698155,-74.9824444,Link
Prescott,Prescott Square,AZ,US,6/30/2018,300,300,300,Families Belong Together,https://act.moveon.org/event/families-belong-together/19876/signup/?source=&s=,https://twitter.com/SherryPCMO/status/1013255433845264385,,34.6463981,-112.4291464,34.6487801,-112.4273244,Link
Presque Isle,Outside Hardscrabble Solutions,ME,US,6/30/2018,12,12,12,Families Belong Together,https://thecounty.me/2018/07/03/news/community-members-protest-u-s-immigration-policies-advocate-for-families-in-pi/,,,46.681153,-68.0158614,46.686043,-68.0108774,Link
